aadhaa	aa dh aa
aadii	aa d ii
aagaraa	aa g a r aa
aagaraa	aa g axx r aa
aagaraa	aa g r aa
aagar	a a g a r
aagar	a g a r
<aah>	SIL
aaii	aa ii
aaii	aa y
aajamagadxhqa	aa j a m a g a dxhq
aajamagadxhqa	aa j a m g a dxhq
aajamagadxhqa	aa j m axx g a dxhq
aalamapura	aa l a m axx p u r
aalot	aa l o t
aaluu	aa l uu
aaluuanya	aa l uu a n y
aaluubaadashaaha	aa l uu b aa d a s aa
aaluubaadashaaha	aa l uu b aa d a s aa h
aaluubaadashaaha	aa l uu b aa d a sh aa
aaluubaadashaaha	aa l uu b aa d a sh aa h
aaluubukhaaraa	aa l uu bh u k aa r aa
aaluubukhaaraa	aa l uu bh u kh aa r aa
aaluubukhaaraa	aa l uu b u kh aa r aa
aaluucandramukhii	aa l uu c a n d r a m u kh ii
aaluucandramukhii	aa l uu c a n d r a m u k ii
aaluudeeshii	aa l uu d ee sh ii
aaluudeeshii	aa l uu d ee s ii
aaluuhaldwaanii	aa l uu h a l d w aa n i
aaluuhaldwaanii	aa l uu h a l d w aa n ii
aaluujyotii	aa l uu j o t ii
aaluujyotii	aa l uu j y o t ii
aaluulaala	aa l uu l aa l
aaluulaalaneiniitaala	aa l uu l aa l n ei n ii t aa l
aaluulokala	aa l uu l o k a l
aaluuneiniitaala	aa l uu n ei n ii t aa l
aama	aa m
aamaanya	aa m a a n y
aamaanya	aa m a n y
aamabaadaama	aa m a b aa d aa m
aamacousaa	aa m a c ou s aa
aamadashaharii	aa m a d a sh a h a r ii
aamadashaharii	aa m a d a sh a h ee r ii
aamadashaharii	aa m a d a sh ee r ii
aamahaapusa	aa m a h aa p u s
aamasapheeda	aa m a s a ph ee d
aamasapheeda	aa m a s a ph ee d aa
aanandanagara	aa n a n d a n a g a r
aanandanagara	aa n a n d axx n a g a r
aanwalaa	aa m axx l aa
aanwalaa	aa n w a l aa
aanwalaa	aan w a l aa
aanwalaa	aan w axx l aa
aara	aa r
aarouna	aa r ou n
aatxaa	aa tx aa
aatxha	aa txh
acaara	a c aa r
acaneeraa	a c a n ee r aa
acaneeraa	a c axx n ee r aa
acchaldaa	a c ch a l a d aa
acchaldaa	a cch a l axx d aa
acchaldaa	a cch a l d aa
adaraka	a d a r a k
adaraka	a d axx r a k
adaraka	a d axx r a kh
aharouraa	a h a r ou r aa
aharouraa	a h i r ou r aa
ajawaaina	a j a w aa i n
ajawaaina	a j axx w aa ii n
ajawaaina	a j axx w aa i n
ajayagadxhqa	a j a y a g a dxhq
ajuuhaa	a j uu h aa
akbarapura	a k a b a r axx p u r
akbarapura	a k axx b a r axx p u r
akharotxa	a kh a r o tx
akharotxa	a kh axx r o tx
akodiyaa	a k o d y i aa
alasii	a l a s ii
alasii	a l axx s ii
aliigadxhqa	a l i g a dxhq
aliigadxhqa	a l ii g a dxhq
aliiganja	a l ii g a n j
aliraajapura	a l ii r aa j a p u r
aliraajapura	a l i r aa j axx p u r
amarapaatxana	a m a r a p aa tx a n
amarohaa	a m a r o h aa
amarohaa	a m axx r o h aa
amarohaa	a m r o h aa
amaruuda	a m a r uu d
amaruuda	a m axx r uu d
amaruuda	a m r uu d
amaruudaanya	a m a r uu d a a n y
amaruudaanya	a m axx r uu d a a n y
amaruudaanya	a m r uu d a a n y
amaruudailaahaabaada	a m a r uu d a i l aa b aa d
amaruudailaahaabaada	a m a r uu d a i l aa h aa b aa d
amaruudailaahaabaada	a m a r uu d a i l aa h axx b aa d
amaruudailaahaabaada	a m axx r uu d a i l aa b aa d
amaruudailaahaabaada	a m axx r uu d a i l aa h aa b aa d
amaruudailaahaabaada	a m axx r uu d a i l aa h axx b aa d
amaruudailaahaabaada	a m r uu d a i l aa b aa d
amaruudailaahaabaada	a m r uu d a i l aa h aa b aa d
amaruudailaahaabaada	a m r uu d a i l aa h axx b aa d
ambeedxakaranagara	a m b ee dx a k a r a n a g a r
ameitxhii	a m ee txh ii
ameitxhii	a m ei txh ii
anaaja	a n aa j
anaara	a n aa r
anaarachotxaa	a n aa r a ch o tx aa
andxqii	a n dxq ii
andxqii	a r a n dxq ii
andxqiibiija	a n dxq ii b ii j
andxqiibiija	a r a n dxq ii b ii j
andxqiikaabiija	a n dx ii k aa b ii j
andxqiikaateela	a n dx ii k aa t ee l
anguura	a n g uu r
anguuraanya	a n g uu r a a n y
anguuraindxiyana	a n g uu r a i n dx i y a n
anjada	a n j a d
antxhaanwee	a n txh aa n a w ee
antxhaanwee	a n txh aa n axx w ee
antxhaanwee	a n txh aa n w ee
antxhaanwee	a txh aa n axx w ee
antxhaanwee	a txh aa n w ee
anuupapura	a n uu p a p u r
anuupashahara	a n uu p a sh a h a r
anuupashahara	a n uu p axx sh a h a r
anxdxaa	a nx dx aa
anxdxaa	a nx dx ee
anya	a n y
arabii	a r a b ii
arabii	a r a ii
arabii	a r axx b ii
arabii	a r b ii
arahara	a r a h a r
arahara	a r axx h a r
arahara	a r h a r
araharadaala	a r a h a r a d aa l
araharadaala	a r axx h a r a d aa l
araharadaala	a r h a r a d aa l
araharakhadxqii	a r a h a r a kh a dxq ee
araharakhadxqii	a r a h a r a kh a dxq ii
araharakhadxqii	a r axx h a r a kh a dxq ee
araharakhadxqii	a r axx h a r a kh a dxq ii
araharakhadxqii	a r h a r a kh a dxq ee
araharakhadxqii	a r h a r a kh a dxq ii
araharakiidaala	a r a h a r a k ii d aa l
araharamadhyama	a r a h a r a m a dh y a m
araharamadhyama	a r axx h a r a m a dh y a m
araharamadhyama	a r h a r a m a dh y a m
araharasaabuuta	a r a h a r a s aa b u t
araharasaabuuta	a r a h a r a s aa b uu t
araharasaabuuta	a r axx h a r a s aa b u t
araharasaabuuta	a r axx h a r a s aa b uu t
araharasaabuuta	a r h a r a s aa b u t
araharasaabuuta	a r h a r a s aa b uu t
ashokanagara	a sh o k a n a g a r
assii	a s s ii
assii	a ss ii
asxtxaa	a sx tx aa
ataroulii	a t a r ou l ii
ataroulii	a t axx r ou l ii
ataroulii	a t r ou l ii
atarraa	a t a r r aa
atarraa	a t a rr aa
atxhaaraha	a txh aa r a h
atxhaaraha	a txh aa r ee h
